Category,Item Name,Margin %,Cost,Active Price
SHOES,NIKE SLIDES,9.09,300,330
SHOES,1816-81,15,510,600
SHOES,BTT 341,12,220,250
SHOES,BABY SLIDES,26.67,110,150
SHOES,SMILE RUBBER,14.29,240,280
SHOES,KSA - 1167,25,150,200
SHOES,BABY DOLLS,25,150,200
SHOES,KIDS RAINBOW,22.73,170,220
SHOES,KQA 2329,9.09,300,330
SHOES,KQA 2367,9.38,290,320
SHOES,WQ 2610,8.57,320,350
SHOES,KQA 2396,9.38,290,320
SHOES,KSA 1139,100,0,250
SHOES,KSA 1083,100,0,250
SHOES,MOYO 8103 - 7,8,230,250
SHOES,KQA 2370,12.5,350,400
SHOES,KSA 1290,12,220,250
SHOES,KQA 2292,9.38,290,320
SHOES,KCA 5026,7.89,350,380
SHOES,KCA 5030,7.89,350,380
SHOES,SPY 550,14.29,300,350
SHOES,F-338,8,230,250
SHOES,F-362,8,230,250
SHOES,B-002,9.38,290,320
SHOES,F-330,8,230,250
SHOES,NIKE SLIPPERS,13.33,260,300
SHOES,KSA 1068,12,220,250
SHOES,KQA 2378-KIOO,8.57,320,350
SHOES,KQA 2456,9.38,290,320
SHOES,F-332,8,230,250
SHOES,F-334,12,220,250
SHOES,D-384,12,220,250
SHOES,KCA - 5028,7.89,350,380
SHOES,A 501,11.43,310,350
SHOES,D -3199-2,9.38,290,320
SHOES,KSA 1051,25,150,200
SHOES,KSA 5005,20,200,250
SHOES,F-325,12,220,250
SHOES,F-314,12,220,250
SHOES,D-3189-1,12.5,280,320
SHOES,D-3189-2,9.38,290,320
SHOES,KSA 1076,25,150,200
SHOES,MOYO 8147 7,8,230,250
SHOES,MOYO 6003 1,12,220,250
SHOES,MOYO 8103 8,8,230,250
SHOES,MOYO 8103 11,10.71,250,280
SHOES,MOYO 8147 11,8,230,250
SHOES,MOYO 8103 9,8,230,250
SHOES,MOYO 8147 5,12,220,250
SHOES,MOYO 8103 4,8,230,250
SHOES,F-318,12,220,250
SHOES,332-D,6.9,270,290
SHOES,335-C,3.57,270,280
SHOES,334-D,6.9,270,290
SHOES,332-C,3.57,270,280
SHOES,339-D,6.9,270,290
SHOES,KBL - 71,25,150,200
SHOES,335-D,6.9,270,290
SHOES,339-C,3.57,270,280
SHOES,334-C,3.57,270,280
SHOES,KURT KENZO,25,300,400
SHOES,KURT ORANGE\ YELLOW,25,300,400
SHOES,F-328,8,230,250
SHOES,F-340,8,230,250
SHOES,309-C,3.57,270,280
SHOES,309-D,6.9,270,290
SHOES,KURT GREY\BLACK,12.5,350,400
SHOES,KURT GREY\RED,25,300,400
SHOES,MOYO 8147 2,10.71,250,280
SHOES,H19,11.84,335,380
SHOES,H20,11.84,335,380
SHOES,AMIR TOP,26.67,220,300
SHOES,H22,11.84,335,380
SHOES,KQA 2262,15.63,270,320
SHOES,GD 091,9.38,290,320
SHOES,KQA 2054,10,270,300
SHOES,KQA 2159,10,270,300
SHOES,DB 9177,22.37,295,380
SHOES,KCA 5025,7.89,350,380
SHOES,BTT 837,14.29,300,350
SHOES,330 C,15.63,270,320
SHOES,330 D,8.62,265,290
SHOES,BTT 310,12,220,250
SHOES,BTT 330,12,220,250
SHOES,BTT 863,14.29,300,350
SHOES,BTT 332,12,220,250
SHOES,GD 118,9.09,300,330
SHOES,HD 308,9.09,300,330
SHOES,HD 310,9.09,300,330
SHOES,HD 056,9.38,290,320
SHOES,KQA 2337,9.38,290,320
SHOES,KQA 2042,9.38,290,320
SHOES,GD 064,9.09,300,330
SHOES,KQA 2076,10,270,300
SHOES,KQA 2097,10,270,300
SHOES,KQA 2261,10,270,300
SHOES,KQA 2057,9.38,290,320
SHOES,KQ 2335,6.25,300,320
SHOES,GD 115,9.38,290,320
SHOES,KQA 2061,9.38,290,320
SHOES,KQA 2397,9.09,300,330
SHOES,KQA 2235,9.38,290,320
SHOES,GD 092,9.38,290,320
SHOES,KQA 2281,9.38,290,320
SHOES,KSA-1035,12,220,250
SHOES,WS 0351,100,0,300
SHOES,KQA2338,11.43,310,350
SHOES,BTT 328,12,220,250
SHOES,N-603,20,280,350
SHOES,KCA - 255,100,0,250
SHOES,KBL KIDS SANDALS,25,150,200
SHOES,KCA - 5052,7.89,350,380
SHOES,KQA - 2217,10,270,300
SHOES,KSA-1280,21.74,180,230
SHOES,SY-B143,6.67,280,300
SHOES,SY-B151,6.67,280,300
SHOES,TQA-6202,14.29,300,350
SHOES,KQA-2221,14.29,300,350
SHOES,KBL SANDALS KIDS,25,150,200
SHOES,KSA 1271,12,220,250
SHOES,SY-A151,12.5,280,320
SHOES,B6039,21.05,300,380
SHOES,MEN SLIDES,23.26,330,430
SHOES,KQA - 2259,9.38,290,320
SHOES,KCA - 5032,7.89,350,380
SHOES,KQA - 2321,8.57,320,350
SHOES,KQA - 2373,9.38,290,320
SHOES,KQA - 2394,8.57,320,350
SHOES,KSA - 1120,20,200,250
SHOES,KQA -2383,9.38,290,320
SHOES,KQA - 2536,9.38,290,320
SHOES,KQA - 2199,16.67,500,600
SHOES,KQA - 2308,11.43,310,350
SHOES,TK - 27B,12,220,250
SHOES,KURT GREEN-YELLOW,25,300,400
SHOES,KCA - 5027,7.89,350,380
SHOES,MOYO - 8147-10,8,230,250
SHOES,SY - A143,12.5,280,320
SHOES,325 - C,5.36,265,280
SHOES,MOYO - 8147-4,8,230,250
SHOES,KQA-2338,8.57,320,350
SHOES,E-020,10,270,300
SHOES,KQA 2365,10.71,250,280
SHOES,KQA-2305,10,450,500
SHOES,KQA2345,14.29,300,350
SHOES,A-457,20,320,400
SHOES,A-370,20,320,400
SHOES,KSA1314,10.71,250,280
SHOES,KSA1316,10.71,250,280
SHOES,KSA 1248,8,230,250
SHOES,KSA-1104,25,150,200
SHOES,KSA-1162,10.71,250,280
SHOES,KSA-1217,25,150,200
SHOES,KSA-1152,25,150,200
SHOES,DB-102,16.79,233,280
SHOES,L-557,22.86,270,350
SHOES,MDK-251,26.88,585,800
SHOES,MDK-244,26.88,585,800
SHOES,DA 169,10,270,300
SHOES,KSA1255,12,220,250
SHOES,KQA-2158,10,270,300
SHOES,SY-150,8.57,320,350
SHOES,SNEAKER - BOLA,8.57,320,350
SHOES,KSA -1316,10.71,250,280
SHOES,KQA-2308,11.43,310,350
SHOES,KSA-1324,10.71,250,280
SHOES,KSA1318,10.71,250,280
SHOES,WIPE & GO -300,27.27,240,330
SHOES,Heels,18,820,"1,000.00"
SHOES,Wedges,18,820,"1,000.00"
SHOES,XP 851,26.67,220,300
SHOES,8282,20,280,350
SHOES,P20-70,16,210,250
SHOES,WIPE & GO-250,12,220,250
SHOES,KSA1076,25,150,200
SHOES,A21-36,12,220,250
SHOES,BTT 339,100,0,250
SHOES,KSA 1291,10.71,250,280
SHOES,KSA 1219,18.65,203.37,250
SHOES,KQ 22564,9.09,300,330
SHOES,KQA 2415,8.82,310,340
SHOES,KC 25044,21.05,300,380
SHOES,6071- 4,17.86,230,280
SHOES,KSA 1266,20,200,250
SHOES,KC 25047,8.57,320,350
SHOES,KC 25071,7.89,350,380
SHOES,KQA 2513,6.06,310,330
SHOES,KQA 2120,10,270,300
SHOES,KQA 2129,10,270,300
SHOES,KQA 2058,9.38,290,320
SHOES,KQA 2130,10,270,300
SHOES,KQA 2138,10,270,300
SHOES,KQA 2475,9.09,300,330
SHOES,KS 21346,10.71,250,280
SHOES,KQA 2171,10,270,300
SHOES,KQA 2177,10,270,300
SHOES,KQA 2431,3.03,320,330
SHOES,R - 7,21.74,180,230
SHOES,ROSE MULES,7.5,370,400
SHOES,KQA 2525,9.38,290,320
SHOES,QB 764,100,0,330
SHOES,KSA 1304,10.71,250,280
SHOES,LEGIT MULES,7.14,390,420
SHOES,KQ 22599,9.52,380,420
SHOES,KQA 2291,8.57,320,350
SHOES,KQA 2543,9.09,300,330
SHOES,TANA MEN RUBBERS,20,240,300
SHOES,KQA 2336,14.29,300,350
SHOES,KQA 2546,12.12,290,330
SHOES,KQA 2493,9.09,300,330
SHOES,KQ 22561,9.09,300,330
SHOES,KSA 1308,8,230,250
SHOES,8248-15,13.09,330.27,380
SHOES,8147A -4,8,230,250
SHOES,KSA 1342,8,230,250
SHOES,KCA 5039,7.89,350,380
SHOES,KQA 2269,10,270,300
SHOES,KQA 2453,10.98,311.58,350
SHOES,KSA 2494,100,0,330
SHOES,KC 25015,100,0,380
SHOES,KC 25060,7.89,350,380
SHOES,WQ 2955,9.09,300,330
SHOES,KC 25023,7.89,350,380
SHOES,D - 2235,11.43,310,350
SHOES,KSA 1336,10.71,250,280
SHOES,KC 25050,21.05,300,380
SHOES,KQA 2496,8.57,320,350
SHOES,WEDGE BLACK RED,14.29,600,700
SHOES,BLACK RED WEDGES,14.29,600,700
SHOES,WQ2986,100,0,350
SHOES,RUBBERS,17.86,230,280
SHOES,SPORT WHITE,14,430,500
SHOES,KQA 2401,100,0,320
SHOES,KSA 1315,-12,280,250
SHOES,KQA 2339,10,270,300
SHOES,KQA 2348,8.57,320,350
SHOES,D - 2205,11.43,310,350
SHOES,F 313,12,220,250
SHOES,B 794,9.09,300,330
SHOES,F - 284,8,230,250
SHOES,B - 22040,9.09,300,330
SHOES,KQA 2520,9.09,300,330
SHOES,DB 21042,7.37,352,380
SHOES,KSA 1075,12,220,250
SHOES,WQ 2828,5.71,330,350
SHOES,A - 02,44.38,445,800
SHOES,D - 3260,11.15,293.21,330
SHOES,B - 22043,7.89,350,380
SHOES,KSA - 1332,8,230,250
SHOES,D - 2206,13.94,301.22,350
SHOES,D - 2207,11.43,310,350
SHOES,B - 783,9.09,300,330
SHOES,21 - 073,11,293.68,330
SHOES,D - 3143,9.38,290,320
SHOES,B - 796,9.09,300,330
SHOES,D - 2219,9.63,289.18,320
SHOES,KQ 22644,11.9,370,420
SHOES,KQ 22706,11.9,370,420
SHOES,BTT 2268,10,270,300
SHOES,KQ 22610,9.52,380,420
SHOES,KQA 2506,6.06,310,330
SHOES,KQA 2201,8.57,320,350
SHOES,KQ 22585,12.12,290,330
SHOES,KQA 2487,9.38,290,320
SHOES,KQA 2411,9.09,300,330
SHOES,DA 171,10,270,300
SHOES,KQA 2481,14.29,300,350
SHOES,WQ 2824,11.43,310,350
SHOES,KQA 2447,12.12,290,330
SHOES,KQA 22578,9.09,300,330
SHOES,KQA 2457,6.06,310,330
SHOES,KS 21345,10.71,250,280
SHOES,QB 512,9.09,300,330
SHOES,BTT 351,12.8,218.01,250
SHOES,BTT  360,20,200,250
SHOES,KC 25072,7.89,350,380
SHOES,D - 3217,9.09,300,330
SHOES,D - 2208,9.09,300,330
SHOES,8248-19,7.14,390,420
SHOES,8248-12,7.14,390,420
SHOES,D - 3122,9.09,300,330
SHOES,U - 2231,9.09,300,330
SHOES,D - 3144,6.06,310,330
SHOES,D - 2221,9.09,300,330
SHOES,B - 22015,6.06,310,330
SHOES,KC 25055,14.29,300,350
SHOES,KQA 2559,6.06,310,330
SHOES,KQA 2297,10.98,311.58,350
SHOES,KQA 2517,9.09,300,330
SHOES,KQ 22632,6.67,420,450
SHOES,WQ 2951,10.84,303.14,340
SHOES,KC 25053,7.89,350,380
SHOES,KC 25052,14.29,300,350
SHOES,KQ 22621,17.48,272.31,330
SHOES,KQA 2476,6.06,310,330
SHOES,KSA 1314,10.71,250,280
SHOES,KQ 22580,9.09,300,330
SHOES,KQA 2070,8.82,310,340
SHOES,KQ 22587,9.09,300,330
SHOES,KQA 2108,9.09,300,330
SHOES,KURT SNEAKERS,22.22,350,450
SHOES,8147-2,11.54,230,260
SHOES,F - 346,8,230,250
SHOES,8103 - 1,10.71,250,280
SHOES,T-BX22,9.09,300,330
SHOES,KQ 22560,9.09,300,330
SHOES,KSA 3538,12,220,250
SHOES,WS 3655,10.71,250,280
SHOES,WS 3650,10.71,250,280
SHOES,KSA 1323,10.71,250,280
SHOES,KSA 1330,10.71,250,280
SHOES,KQA 2468,12.12,290,330
SHOES,KQA 2466,9.09,300,330
SHOES,KSA 1345,10.71,250,280
SHOES,KQA 2316,9.52,380,420
SHOES,DA 160,0,270,270
SHOES,KQA  2192,16.67,500,600
SHOES,KQA 2286,9.52,380,420
SHOES,8248 - 16,11.9,370,420
SHOES,8248 - 21,11.9,370,420
SHOES,KC 25083,7.89,350,380
SHOES,KS 21348,10.71,250,280
SHOES,KSA 1287,13.81,215.48,250
SHOES,KQA 2191,8.57,320,350
SHOES,KSA 1325,10.71,250,280
SHOES,8248 - 17,12.5,350,400
SHOES,FANCY SANDALS,17.39,190,230
SHOES,PAWS SANDALS,24,190,250
SHOES,DA 161,10,270,300
SHOES,6071-1,8,230,250
SHOES,DA 167,16.67,250,300
SHOES,DA 170,10,270,300
SHOES,JKK WIPE N GO,20,200,250
SHOES,BTT 359,20,200,250
SHOES,DA 165,10,270,300
SHOES,KSA 1281,10.71,250,280
SHOES,KSA 1320,12,220,250
SHOES,KQA 2375,9.38,290,320
SHOES,KSA 1317,10.71,250,280
SHOES,KCA 5045,7.89,350,380
SHOES,WQ 2509,6.25,300,320
SHOES,KQA 2152,15.6,270.08,320
SHOES,BB - 9,15,170,200
SHOES,KQA 2485,6.25,300,320
SHOES,KQA 2535,9.38,290,320
SHOES,KQA 2164,10,270,300
SHOES,WIPE & GO CLEAR,15,170,200
SHOES,TCA  - 8159,10.5,358,400
SHOES,A - 10,8,230,250
SHOES,8208,19.43,282,350
SHOES,KCA 5036,7.89,350,380
SHOES,KQA 2079,8.57,320,350
SHOES,BTT 344,12,220,250
SHOES,DB 9112,17.86,230,280
SHOES,KQA 2282,10,270,300
SHOES,SY - B170,16.67,250,300
SHOES,SY - B70,16.67,250,300
SHOES,K&K - 2,9.38,290,320
SHOES,SY - 71,6.55,308.37,330
SHOES,8147 - 9,12,220,250
SHOES,KSA 1216,20,200,250
SHOES,TCA 8167,28.57,250,350
SHOES,8147A - 1,12,220,250
SHOES,MANYOYA KIDS,16.67,150,180
SHOES,SY - 287,8.57,320,350
SHOES,KQA 2325,9.38,290,320
SHOES,KTA 7026,14.29,300,350
SHOES,KQA 2358,9.38,290,320
SHOES,KQA 2425,6.25,300,320
SHOES,KQA 2205,10,270,300
SHOES,KQA 2240,10,270,300
SHOES,KQA 2188,10,270,300
SHOES,KQA 2219,10,270,300
SHOES,KQA 2360,9.38,290,320
SHOES,QF - 36,16.25,335,400
SHOES,KQA 2335,9.38,290,320
SHOES,KSA 1265,8,230,250
SHOES,D-3264,12.5,350,400
SHOES,D-3263,11.43,310,350
SHOES,KQA 2236,15.63,270,320
SHOES,D-384 DOLL,9.09,300,330
SHOES,F - 304,12,220,250
SHOES,WS 0349,25,150,200
SHOES,KCA 5003,25,150,200
SHOES,KQA 2048,9.38,290,320
SHOES,BTT 338,100,0,250
SHOES,MEN BOOTS,15,850,"1,000.00"
SHOES,UM-19,10,450,500
SHOES,UM-31,10,450,500
SHOES,SY-286,8.57,320,350
SHOES,BTT 336,100,0,250
SHOES,KQA 2020,9.38,290,320
SHOES,SY-284,8.57,320,350
SHOES,KQA 2353,9.38,290,320
SHOES,KURT - MEN SLIDES,16.67,250,300
SHOES,SY-142,9.09,300,330
SHOES,RZ-16 QUEEN,8,230,250
SHOES,SY-A22,9.09,300,330
SHOES,SY 283,8.57,320,350
SHOES,SY - A65,0,320,320
SHOES,WIPE AND GO - LUXURY,16.67,250,300
SHOES,SY 291,9.09,300,330
SHOES,A 2021 - 3,9.38,290,320
SHOES,A - 2,8,230,250
SHOES,DA - 8116,9.38,290,320
SHOES,QB 666,11.43,310,350
SHOES,HD 500,9.09,300,330
SHOES,KCA 5002,10,270,300
SHOES,BOSSGIRL,20,200,250
SHOES,BTT 868,14.29,300,350
SHOES,CONVERSE,100,0,800
SHOES,SY - 285,8.57,320,350
SHOES,2022-1,12.5,175,200
SHOES,DAR MEN RUBBERS,14.44,385,450
SHOES,LEOPARD RUBBERS,12.5,350,400
SHOES,6071-15,12,220,250
SHOES,F-354,8,230,250
SHOES,TYX-2003,20,200,250
SHOES,8147A-10,12,220,250
SHOES,sy 150,8.57,320,350
SHOES,kk-8,9.38,290,320
SHOES,CC01-C,20,200,250
SHOES,sy 147,7.89,350,380
SHOES,F-350,8,230,250
SHOES,B-22014,8.57,320,350
SHOES,D-3147,3.03,320,330
SHOES,B-22043,7.89,350,380
SHOES,D-3216,3.03,320,330
SHOES,D-3214,3.03,320,330
SHOES,F-339,8,230,250
SHOES,F-342,8,230,250
SHOES,B-22016,9.09,300,330
SHOES,F-335,8,230,250
SHOES,SY - 140,7.89,350,380
SHOES,DB 9217,5.7,358.33,380
SHOES,KQA 2519,8.57,320,350
SHOES,KC 25051,21.05,300,380
SHOES,KC 25063,7.89,350,380
SHOES,KSA 1303,10.71,250,280
SHOES,WQ 3004,9.09,300,330
SHOES,DOTTED RUBBERS,16,210,250
SHOES,KC 25061,7.89,350,380
SHOES,KQA 2271,12.12,290,330
SHOES,KQA 2511,6.06,310,330
SHOES,SY - 146,7.89,350,380
SHOES,SY - 137,7.89,350,380
SHOES,SY - 138,7.89,350,380
SHOES,SY - 148,7.89,350,380
SHOES,KC 25040,7.89,350,380
SHOES,KSA 1275,8,230,250
SHOES,KSA 1338,8,230,250
SHOES,KC 25049,13.16,330,380
SHOES,PB - 5 SLIDE,39.47,230,380
SHOES,D-2207,11.43,310,350
SHOES,8147A 6,12,220,250
SHOES,8147A 14,12,220,250
SHOES,KCA 5037,7.89,350,380
SHOES,KC 25046,7.89,350,380
SHOES,KQA 2530,9.38,290,320
SHOES,BTT 839,14.29,300,350
SHOES,BTT 763,14.29,300,350
SHOES,KQA 2529,9.38,290,320
SHOES,KSA 1288,10.71,250,280
SHOES,WQ 2635,5.71,330,350
SHOES,MG - 118,42.5,230,400
SHOES,S - 023,10.71,250,280
SHOES,TCA 8121,100,0,350
SHOES,DB 9213,19.6,281.41,350
SHOES,KQA 2531,9.38,290,320
SHOES,KQA 2352,9.09,300,330
SHOES,WQ 1858,8.57,320,350
SHOES,KQA 2405,12.5,350,400
SHOES,KSA 1312,10.71,250,280
SHOES,BTT 764,14.29,300,350
SHOES,KQA 2126,9.09,300,330
SHOES,KQA 2526,9.38,290,320
SHOES,KQA 2503,8.57,320,350
SHOES,KQA 2163,7.5,370,400
SHOES,KSA 1284,10.71,250,280
SHOES,KQA  2539,12.5,350,400
SHOES,D-2106 DOLL,6.06,310,330
SHOES,KQA 2449,8.57,320,350
SHOES,KQA 2366,11.43,310,350
SHOES,KC 25042,7.89,350,380
SHOES,6071 -5,100,0,250
SHOES,KQA 2527,9.38,290,320
SHOES,MD 118,100,0,400
SHOES,6071 -17,100,0,250
SHOES,MEN YELLOW,100,0,170
SHOES,T-BX17,100,0,350
SHOES,KC 25065,7.89,350,380
SHOES,QB 357A,11.43,310,350
SHOES,KQA 2007,8.57,320,350
SHOES,138T,42.5,460,800
SHOES,YS 5016,10,180,200
SHOES,P20 - 122,9.09,300,330
SHOES,YS 5149,10,180,200
SHOES,YS 0298,10,180,200
SHOES,YS 5050,10,180,200
SHOES,YQ - 0244,0,290,290
SHOES,PNY - 7,16.67,500,600
SHOES,PNY - 8,16.67,500,600
SHOES,KURT SAMBA,13.33,650,750
SHOES,BUTTERFLY SNEAKER,9.33,680,750
SHOES,YS 5069,12,220,250
SHOES,YS 5056,10.49,205.88,230
SHOES,YS 5080,10.63,223.43,250
SHOES,YS 5137,10.54,223.66,250
SHOES,YS 5112,10,180,200
SHOES,YS 5066,15,170,200
SHOES,YS 5075,10,180,200
SHOES,YS 5106,13.04,200,230
SHOES,YS 5046,13.04,200,230
SHOES,YS 0464,13.04,200,230
SHOES,YQ - 0360,100,0,290
SHOES,L6140 - 10242,10.53,170,190
SHOES,YS - 0291,10,180,200
SHOES,YS - 5144,100,0,200
SHOES,YS - 5034,15,170,200
SHOES,YQ - 0424,100,0,200
SHOES,YQ - 0436,100,0,290
SHOES,YQ - 0243,100,0,200
SHOES,743 - 1022,35.29,550,850
SHOES,38096 - 52M,11.11,400,450
SHOES,YS - 5066,15,170,200
SHOES,YS - 5141,10,180,200
SHOES,M - 2286,100,0,500
SHOES,AHT - 5,100,0,600
SHOES,YQ 0330,10.34,260,290
SHOES,YS - 5145,100,0,200
SHOES,YS - 5073,10,180,200
SHOES,YS - 5104,10,180,200
SHOES,YS - 5054,15,170,200
SHOES,YS - 5067,100,0,200
SHOES,8388 - 5,100,0,300
SHOES,YQ 0428,100,0,290
SHOES,FLOWER SANDAL,10,180,200
SHOES,38096 - 53M,11.11,400,450
SHOES,YS 0175,10,180,200
SHOES,YS 0466,100,0,380
SHOES,YS - 5016,100,0,200
SHOES,L2025 - 0795,100,0,300
SHOES,GRADIATORS,100,0,200
SHOES,021 - 116,100,0,330
SHOES,L2068 - 10941,16.67,150,180
SHOES,88857 - 104M,11.11,400,450
SHOES,W - 1255,10,540,600
SHOES,017 - 131 (31-36),15.15,280,330
SHOES,W - 28,10,540,600
SHOES,YQ 0441,13.33,260,300
SHOES,FLUFFY BIG SOLE,100,0,600
SHOES,88857 - 104L,11.11,400,450
SHOES,38096 - 53L,11.11,400,450
SHOES,6998 - 2,22.5,271.26,350
SHOES,YQ 0512,13.33,260,300
SHOES,YS 5139,9.78,225.56,250
SHOES,KQ 34345,10,270,300
SHOES,YQ 0693,8.57,320,350
SHOES,YQ 0503,12.5,280,320
SHOES,YS 5061,10,180,200
SHOES,YS 5048,10,180,200
SHOES,YS 5072,10,180,200
SHOES,YS 5117,12,220,250
SHOES,YS 5083,9.43,181.14,200
SHOES,YS - 5072,100,0,200
SHOES,YS - 5068,0,200,200
SHOES,YS - 5075,0,200,200
SHOES,YS - 5149,0,200,200
SHOES,YQ - 0503,100,0,320
SHOES,YQ 0384,6.67,420,450
SHOES,YQ 0692,8.57,320,350
SHOES,YS - 0036,100,0,250
SHOES,YS - 5112,0,200,200
SHOES,YS - 5061,100,0,200
SHOES,L - 9098,100,0,190
SHOES,P - 2 DOLL,14.29,240,280
SHOES,M - 1,10,180,200
SHOES,P - 7 DOLL,14.29,240,280
SHOES,P - 8,14.29,240,280
SHOES,P - 1,14.29,240,280
SHOES,YQ 0348,13.33,260,300
SHOES,8969 - 6#,9.09,500,550
SHOES,T - 1,10,180,200
SHOES,M - 3,10,180,200
SHOES,M - 2,10,180,200
SHOES,743 - 1026,8.33,550,600
SHOES,L9098 - 10768,11.11,160,180
SHOES,L2066 - 11222,11.11,160,180
SHOES,8969 - 1037,9.09,500,550
SHOES,L9098 - 10834,16.67,150,180
SHOES,SY - A813,14.29,240,280
SHOES,SY - A807,14.29,240,280
SHOES,L2030 - 0800,11.11,160,180
SHOES,38096 - 52L,11.11,400,450
SHOES,8388 - 6,13.04,200,230
SHOES,YS - 5161,100,0,200
SHOES,L2066 - 11195,16.67,150,180
SHOES,KS - 5206,100,0,200
SHOES,BLO - 02,21.82,430,550
SHOES,BFO - 02,20,200,250
SHOES,L2034 - 10616,16.67,150,180
SHOES,L9099 - 0729,100,0,180
SHOES,L9098 - 10635,16.67,150,180
SHOES,L2066 - 11211,11.11,160,180
SHOES,L9098 - 10886,13.79,155.18,180
SHOES,L2026 - 0860,16.67,150,180
SHOES,743 - 1027,8.33,550,600
SHOES,L9098 - 10864,16.67,150,180
SHOES,88857 - 108L,11.11,400,450
SHOES,L2066 - 11148,11.11,160,180
SHOES,L2138 - 10728,16.67,150,180
SHOES,BLO - 13,21.82,430,550
SHOES,8388 - 8,20,200,250
SHOES,743 - 1024,8.33,550,600
SHOES,L9098 - 10892,16.67,150,180
SHOES,012 - 105,15.15,280,330
SHOES,021 - 135,15.15,280,330
SHOES,1918 - 23,10.71,250,280
SHOES,M - 4,10,180,200
SHOES,SO - 4,10,180,200
SHOES,033 - 06,5.71,330,350
SHOES,1903 - 89,10.71,250,280
SHOES,021 - 111,10.53,340,380
SHOES,027 - 23,20,280,350
SHOES,027 - 07,14.29,300,350
SHOES,YQ - 0594,100,0,290
SHOES,L6130 - 10301,30,210,300
SHOES,L 2030 - 0800,100,0,190
SHOES,YQ - 0191,100,0,290
SHOES,L2138 - 10282,15.79,160,190
SHOES,L2136 - 11113,16.67,150,180
SHOES,L2138 - 10758,16.67,150,180
SHOES,XT - 25 - 1,100,0,700
SHOES,2320,0,350,350
SHOES,Tana kids open 25 - 30,13.33,260,300
SHOES,YS 0037,16,210,250
SHOES,YS 5067,15,170,200
SHOES,L2138 - 10848,11.11,160,180
SHOES,YQ 0436,13.33,260,300
SHOES,YQ 0594,13.33,260,300
SHOES,L2026 - 10816,11.11,160,180
SHOES,L9097 - 0780,16.67,150,180
SHOES,L9098 - 10840,12.92,156.74,180
SHOES,L2025 - 10763,16.67,150,180
SHOES,L2025 - 10794,16.67,150,180
SHOES,High boot kids (30 - 35) Laki,33.33,200,300
SHOES,YS B0063,16.67,500,600
SHOES,Laki Sneakers,15,340,400
SHOES,1903 - 103,10.71,250,280
SHOES,1916 - 22,10.71,250,280
SHOES,YQ 0243,13.33,260,300
SHOES,YQ 0294,6.67,280,300
SHOES,YQ 0424,13.33,260,300
SHOES,88857 - 107L,11.11,400,450
SHOES,743 - 1025,8.33,550,600
SHOES,M01 - 13,8.57,320,350
SHOES,M01 - 8,8.57,320,350
SHOES,JHT - 74,6.67,420,450
